"gene_id" "GSM158644.CEL"
"214182_at" 9.0851
"214188_at" 7.68019
"214194_at" 8.26349
"214202_at" 6.99022
"214206_at" 7.31151
"214223_at" 7.61179
"214232_at" 7.69545
"214236_at" 6.99676
"214238_at" 6.86738
"214239_x_at" 9.28378
"214243_s_at" 8.00173
"214283_at" 9.06712
"214290_s_at" 9.15848
"214291_at" 8.10698
"214309_s_at" 6.95673
"214316_x_at" 8.40161
"214320_x_at" 7.52174
"214349_at" 7.89753
"214351_x_at" 12.4344
"214353_at" 6.53595
"214355_x_at" 8.58524
"214363_s_at" 11.5525
"214373_at" 7.3486
"214376_at" 5.82866
"214388_at" 5.76237
"214405_at" 4.67418
"214408_s_at" 5.80359
"214412_at" 6.40225
"214414_x_at" 11.2927
"214415_at" 4.51667
"214416_at" 5.80561
"214428_x_at" 11.4504
"214455_at" 5.45112
"214456_x_at" 8.86332
"214463_x_at" 8.559
"214465_at" 5.743
"214469_at" 5.87366
"214472_at" 5.97067
"214487_s_at" 7.2488
"214509_at" 5.769
"214516_at" 5.52316
"214522_x_at" 6.2187
"214542_x_at" 7.40697
"214546_s_at" 5.82255
"214554_at" 4.8911
"214562_at" 4.95925
"214565_s_at" 6.14975
"214567_s_at" 6.25754
"214570_x_at" 7.61946
"214580_x_at" 6.60307
"214583_at" 5.41728
"214603_at" 4.81905
"214616_at" 7.56107
"214634_at" 7.06812
"214642_x_at" 5.97417
"214645_at" 5.22635
"214646_at" 7.76773
"214651_s_at" 7.70878
"214657_s_at" 6.81096
"214658_at" 5.69933
"214676_x_at" 7.41062
"214677_x_at" 11.9507
"214693_x_at" 7.25312
"214696_at" 9.04914
"214731_at" 6.7907
"214740_at" 6.9449
"214741_at" 5.77354
"214744_s_at" 7.93506
"214777_at" 7.35729
"214781_at" 5.85303
"214805_at" 7.43183
"214807_at" 6.5828
"214808_at" 6.66493
"214824_at" 7.83666
"214828_s_at" 7.2376
"214836_x_at" 10.8278
"214839_at" 8.56274
"214854_at" 5.37171
"214855_s_at" 6.42626
"214862_x_at" 4.87851
"214863_at" 7.00524
"214870_x_at" 10.3217
"214882_s_at" 8.71127
"214897_at" 5.62755
"214902_x_at" 8.02796
"214912_at" 6.3292
"214916_x_at" 7.48721
"214919_s_at" 9.26204
"214935_at" 5.32434
"214943_s_at" 4.61588
"214945_at" 5.17016
"214946_x_at" 8.50016
"214949_at" 6.78142
"214950_at" 8.03794
"214964_at" 5.71685
"214967_at" 5.53304
"214976_at" 6.3371
"214977_at" 5.65024
"214979_at" 5.83182
"214984_at" 4.42506
"214995_s_at" 6.30101
"214996_at" 5.82627
"215002_at" 5.03121
"215006_at" 6.97086
"215011_at" 5.63037
"215029_at" 5.07378
"215036_at" 6.92246
"215043_s_at" 5.70602
"215056_at" 6.7983
"215059_at" 5.13656
"215060_at" 6.61044
"215062_at" 6.79637
"215078_at" 7.19351
"215079_at" 6.16036
"215083_at" 7.09218
"215090_x_at" 8.73147
"215110_at" 5.73617
"215113_s_at" 6.4427
"215121_x_at" 11.7289
"215123_at" 6.02974
"215125_s_at" 5.98954
"215128_at" 8.6701
"215132_at" 5.67664
"215133_s_at" 5.04381
"215137_at" 7.99266
"215140_at" 7.26935
"215144_at" 5.85669
"215147_at" 7.35265
"215149_at" 6.09502
"215163_at" 4.86492
"215164_at" 5.53317
"215169_at" 6.28631
"215176_x_at" 7.85263
"215180_at" 7.7374
"215182_x_at" 8.18788
"215183_at" 5.67605
"215189_at" 7.14908
"215191_at" 5.80823
"215193_x_at" 7.40368
"215197_at" 5.62665
"215200_x_at" 7.40529
"215204_at" 5.47551
"215206_at" 7.18411
"215207_x_at" 5.79514
"215212_at" 4.59308
"215216_at" 6.42554
"215221_at" 8.18767
"215223_s_at" 9.62033
"215224_at" 6.1835
"215230_x_at" 11.9643
"215234_at" 6.88659
"215242_at" 4.83763
"215251_at" 7.38725
"215252_at" 6.06193
"215261_at" 7.76893
"215262_at" 5.46038
"215263_at" 5.72929
"215278_at" 6.33254
"215279_at" 7.8109
"215284_at" 6.40431
"215290_at" 4.94599
"215298_at" 5.27678
"215304_at" 8.04728
"215306_at" 6.29689
"215312_at" 4.813
"215314_at" 5.9635
"215316_at" 4.92574
"215317_at" 5.86772
"215327_at" 7.29303
"215329_s_at" 6.55847
"215330_at" 4.79111
"215332_s_at" 5.24582
"215335_at" 6.25539
"215344_at" 6.86392
"215347_at" 6.2267
"215352_at" 5.93304
"215353_at" 6.42855
"215359_x_at" 6.9034
"215360_at" 5.37268
"215362_at" 6.00443
"215363_x_at" 7.71571
"215369_at" 6.33753
"215370_at" 7.25201
"215373_x_at" 8.43145
"215376_at" 6.41414
"215378_at" 5.33991
"215379_x_at" 10.657
"215385_at" 4.73394
"215386_at" 7.0968
"215387_x_at" 5.54543
"215388_s_at" 5.48386
"215390_at" 5.16023
"215392_at" 4.36465
"215397_x_at" 6.19992
"215398_at" 6.74089
